x,y
0.000,0.000
0.100,0.100
0.200,0.200
0.300,0.300
0.400,0.400
0.500,0.500
0.600,0.600
0.600,0.700
0.700,0.800
0.800,0.900
0.900,1.000
1.000,1.100
1.100,1.200
1.200,1.300
1.300,1.400
1.300,1.500
1.300,1.600
1.300,1.700
1.300,1.800
1.300,1.900
1.300,2.000
1.300,2.100
1.300,2.200
1.400,2.300
1.500,2.300
1.600,2.300
1.700,2.300
1.800,2.300
1.900,2.300
2.000,2.300
2.100,2.300
2.200,2.300
2.300,2.300
2.400,2.300
2.500,2.300
2.600,2.300
2.700,2.300
2.800,2.300
2.900,2.300
3.000,2.300
3.100,2.300
3.200,2.300
3.300,2.300
3.400,2.300
3.500,2.300
3.600,2.300
3.700,2.300
3.800,2.300
3.900,2.300
4.000,2.300
4.100,2.300
4.200,2.300
4.300,2.300
4.400,2.300
4.500,2.300
4.600,2.300
4.700,2.300
4.800,2.300
4.900,2.300
5.000,2.300
5.100,2.300
5.200,2.300
5.300,2.300
5.400,2.300
5.500,2.300
5.600,2.300
5.700,2.200
5.700,2.100
5.800,2.000
